key,translation
"services.assemblyAnimations.description","Stap-voor-stap visuele gidsen."
"services.interiorShots.title","Interieurafbeeldingen"
"services.interiorShots.description","Volledig geënsceneerde omgevingen om producten te presenteren."
"socialProof.productsVisualized","Gevisualiseerde Producten"
"socialProof.rendersDelivered","Geleverde Renderings"
"socialProof.catalogDistribution","Catalogusdistributie"
"socialProof.trustedBy","Vertrouwd Door"
"showcase.title","Ons Werk"
"showcase.filters.allWork","Alle Werk"
"showcase.filters.productRenders","Product Renderings"
"showcase.filters.interiorScenes","Interieurscènes"
"showcase.filters.videos","Video's"
"showcase.categories.product","Product"
"showcase.categories.interior","Interieur"
"showcase.categories.video","Video"
"showcase.showingResults","Toont {{count}} van {{total}} projecten"
"process.title","Hoe Het Werkt"
"process.step1.title","Stuur Uw Productdetails"
"process.step1.description","Verstrek CAD-bestanden, schetsen of foto's van uw meubels. We werken met wat u ook heeft."
"process.step2.title","Wij Creëren Prachtige Visualisaties"
"process.step2.description","Ons team ontwikkelt fotorealistische 3D-assets met iteratieve feedback om perfectie te garanderen."
"process.step3.title","U Lanceert & Verkoopt Meer"
"process.step3.description","Ontvang web- en printgeoptimaliseerde visualisaties die betrokkenheid stimuleren en conversies verhogen."
"process.cta","Start Uw Project"
"faq.title","FAQ – Debutiques | CGI Studio & 3D Rendering"
"faq.items.renderingProcess.question","Hoe werkt het 3D-renderingproces?"
"faq.items.renderingProcess.answer","Het 3D-renderingproces omvat verschillende belangrijke stappen. Aanvankelijk beginnen we met het begrijpen van uw product en doelen door middel van een on-site meeting of een virtueel videogesprek. Zodra de doelstellingen van uw project duidelijk zijn gedefinieerd, maken we een gedetailleerd 3D-model van het object of de scène. Vervolgens passen we texturen, materialen en realistische details toe op het model. We voegen dan zorgvuldig geconfigureerde verlichting toe om realistische schaduwen en reflecties te genereren. Ten slotte voeren we de renderingfase uit en transformeren uw 3D-model naar een fotorealistische 2D-afbeelding of animatie. Als u feedback heeft, verfijnen we de visualisaties totdat u volledig tevreden bent."
"faq.items.cgiFurniture.question","Wat zijn CGI-meubels?"
"faq.items.cgiFurniture.answer","CGI staat voor ""Computer Generated Imagery"" (Computergegenereerde beelden). CGI-meubels verwijzen naar meubelmodellen die volledig digitaal op een computer worden gemaakt. Deze virtuele meubelstukken kunnen worden getoond in digitale omgevingen en effectief worden gebruikt in visuele marketing door meubel-, woninginrichting- en lifestylemerken."
"faq.items.3dVisualization.question","Wat is precies 3D-visualisatie?"
"faq.items.3dVisualization.answer","3D-visualisatie is een digitale representatie van fysieke objecten of scènes weergegeven in driedimensionale vorm als afbeeldingen of animaties. Bij Debutiques specialiseert ons toegewijde 3D-visualisatieteam zich in het produceren van hoogwaardige visuele content specifiek op maat gemaakt voor de meubel-, woning- en lifestyle-industrieën."
"faq.items.turnaroundTime.question","Hoe lang duurt het om een 3D-rendering te produceren bij Debutiques?"
"faq.items.turnaroundTime.answer","De doorlooptijd voor 3D-renderings hangt sterk af van verschillende factoren, waaronder de complexiteit van het model, gewenste visuele kwaliteit en projectomvang. Een eenvoudige 3D-visualisatie kan doorgaans binnen enkele uren worden voltooid, terwijl complexere animaties enkele dagen of zelfs weken kunnen duren."
"faq.items.businessBenefits.question","Hoe kan productvisualisatie mijn bedrijf ten goede komen?"
"faq.items.businessBenefits.answer","Productvisualisatie stelt u in staat uw producten te tonen op manieren die moeilijk of onmogelijk zijn met traditionele fotografie. Het maakt gedetailleerde weergaven mogelijk vanuit elke mogelijke hoek, experimenteren met verlichtingsopstellingen en het testen van verschillende kleuren en texturen. Bovendien kan 3D-visualisatie de functionaliteit van een product duidelijk illustreren, gecompliceerde concepten demonstreren en de kosten aanzienlijk verlagen bij het presenteren van meerdere productvariaties."
"faq.items.visualizationTypes.question","Welke soorten 3D-visualisaties biedt Debutiques aan?"
"faq.items.visualizationTypes.answer","Debutiques biedt een uitgebreid scala aan 3D-visualisatiediensten, waaronder:\n\n• Standalone productrenderings (met of zonder achtergrond)\n• Binnen- en buitenomgevingsvisualisaties\n• Contextuele productpresentaties binnen digitaal gecreëerde settings\n• 3D-animaties en videorenderings\n• Augmented Reality (AR) visualisaties, waardoor virtuele producten naadloos kunnen worden weergegeven in echte omgevingen\n\nOp zoek naar inspiratie? Voel je vrij om onze uitgelichte CGI-projecten te verkennen om te zien wat mogelijk is!"
"faq.items.pricing.question","Hoeveel kost een CGI-visualisatie doorgaans?"
"faq.items.pricing.answer","Prijzen voor 3D-visualisatiediensten variëren op basis van complexiteit en type deliverable. Eenvoudige statische visualisaties kunnen beginnen vanaf enkele honderden dollars, terwijl uitgebreide animaties en AR-visualisaties enkele duizenden dollars kunnen kosten. Om een nauwkeurige en gepersonaliseerde offerte te krijgen, neem direct contact op—consultaties en offertes zijn altijd gratis en komen zonder verplichtingen."
"faq.items.cgiStudio.question","Wat is precies een CGI-studio?"
"faq.items.cgiStudio.answer","Een CGI- of 3D-studio is een gespecialiseerd bureau gericht op het creëren van digitale visualisaties en animaties voor bedrijven. Deze studio's bieden flexibiliteit vergeleken met het inhuren van interne 3D-artiesten, omdat u specifieke projecten kunt opdragen wanneer dat nodig is zonder de overhead en langetermijnverplichting van fulltime werknemers."
"faq.items.gettingStarted.question","Hoe kan ik beginnen met het maken van een 3D-rendering voor mijn project?"
"faq.items.gettingStarted.answer","Als u geïnteresseerd bent in het maken van een 3D-rendering, neem gewoon contact op met Debutiques. We bespreken uw specifieke behoeften, leggen uit welke soorten visualisaties uw product het beste zullen tonen, en geven u een duidelijke, niet-bindende offerte. Initiële consultaties zijn volledig gratis, waardoor u de mogelijkheid krijgt om onze aanpak te begrijpen en ervoor te zorgen dat we de juiste match zijn voor uw project."
"schedule.title","Plan een Gesprek"
"schedule.description","Boek een gratis consultatie om uw projectvereisten te bespreken en te verkennen hoe we kunnen helpen uw visie tot leven te brengen."
"contact.title","Laten We Samen Creëren"
"contact.description","Klaar om te transformeren hoe uw klanten uw meubels ervaren?"
"contact.form.name","Naam"
"contact.form.company","Bedrijf"
"contact.form.email","E-mail"
"contact.form.message","Vertel ons over uw project"
"contact.form.submit","Voorstel Aanvragen"
"contact.form.confidential","100% vertrouwelijk. We reageren binnen 24 uur."
"footer.description","Fotorealistische 3D-meubelvisualisatie voor vooruitdenkende merken."
"footer.navigation","Navigatie"
"footer.contact","Contact"
"footer.connect","Verbinden"
"footer.email","info@debutiques.com"
"footer.locations","Belgrado • Frankfurt"
"footer.copyright","© {{year}} Debutiques. Alle rechten voorbehouden."
"toast.messageSent","Bericht verzonden!"
"toast.messageResponse","We nemen binnen 24 uur contact met u op."
"toast.error","Fout"
"toast.messageFailed","Kon bericht niet verzenden. Probeer opnieuw."
"toast.configError","Configuratiefout"
"toast.emailServiceError","E-mailservice is niet correct geconfigureerd. Neem contact op met de beheerder."
