key,translation
"process.cta","Start prosjektet ditt"
"faq.title","FAQ – Debutiques | CGI Studio & 3D Rendering"
"faq.items.renderingProcess.question","Hvordan fungerer 3D-renderingsprosessen?"
"faq.items.renderingProcess.answer","3D-renderingsprosessen involverer flere viktige trinn. Først starter vi med å forstå produktet ditt og målene gjennom et møte på stedet eller et virtuelt videosamtale. Når prosjektets mål er klart definert, lager vi en detaljert 3D-modell av objektet eller scenen. Deretter påfører vi teksturer, materialer og realistiske detaljer på modellen. Vi legger så til nøye konfigurert belysning for å generere realistiske skygger og refleksjoner. Til slutt utfører vi renderingsfasen og transformerer 3D-modellen din til et fotorealistisk 2D-bilde eller animasjon. Hvis du har tilbakemelding, forfiner vi visualiseringene til du er helt fornøyd."
"faq.items.cgiFurniture.question","Hva er CGI-møbler?"
"faq.items.cgiFurniture.answer","CGI står for ""Computer Generated Imagery"" (Datagenererte bilder). CGI-møbler refererer til møbelmodeller som er laget helt digitalt på en datamaskin. Disse virtuelle møblene kan vises i digitale miljøer og brukes effektivt i visuell markedsføring av møbel-, hjemmeinnrednings- og livsstilsmerker."
"faq.items.3dVisualization.question","Hva er egentlig 3D-visualisering?"
"faq.items.3dVisualization.answer","3D-visualisering er en digital representasjon av fysiske objekter eller scener vist i tredimensjonal form som bilder eller animasjoner. Hos Debutiques spesialiserer vårt dedikerte 3D-visualiseringsteam seg på å produsere høykvalitets visuelt innhold spesielt skreddersydd for møbel-, hjem- og livsstilsindustriene."
"faq.items.turnaroundTime.question","Hvor lang tid tar det å produsere en 3D-rendering hos Debutiques?"
"faq.items.turnaroundTime.answer","Gjennomføringstiden for 3D-renderinger avhenger sterkt av flere faktorer, inkludert modellens kompleksitet, ønsket visuell kvalitet og prosjektomfang. En enkel 3D-visualisering kan vanligvis fullføres innen noen timer, mens mer komplekse animasjoner kan ta flere dager eller til og med uker."
"faq.items.businessBenefits.question","Hvordan kan produktvisualisering være til nytte for virksomheten min?"
"faq.items.businessBenefits.answer","Produktvisualisering lar deg vise produktene dine på måter som er vanskelige eller umulige med tradisjonell fotografering. Det muliggjør detaljerte visninger fra alle mulige vinkler, eksperimentering med belysningsoppsett og testing av forskjellige farger og teksturer. Dessuten kan 3D-visualisering tydelig illustrere et produkts funksjonalitet, demonstrere kompliserte konsepter og betydelig redusere utgiftene når man presenterer flere produktvariasjoner."
"faq.items.visualizationTypes.question","Hvilke typer 3D-visualiseringer tilbyr Debutiques?"
"faq.items.visualizationTypes.answer","Debutiques tilbyr et omfattende utvalg av 3D-visualiseringstjenester, inkludert:

• Frittstående produktrenderinger (med eller uten bakgrunn)
• Innendørs og utendørs miljøvisualiseringer
• Kontekstuelle produktpresentasjoner innenfor digitalt skapte innstillinger
• 3D-animasjoner og videorenderinger
• Augmented Reality (AR) visualiseringer, som gjør det mulig å vise virtuelle produkter sømløst i virkelige miljøer

Leter du etter inspirasjon? Utforsk gjerne våre utvalgte CGI-prosjekter for å se hva som er mulig!"
"faq.items.pricing.question","Hvor mye koster en CGI-visualisering vanligvis?"
"faq.items.pricing.answer","Prissettingen for 3D-visualiseringstjenester varierer basert på kompleksitet og type leveranse. Enkle statiske visualiseringer kan starte fra noen hundre dollar, mens omfattende animasjoner og AR-visualiseringer kan koste flere tusen dollar. For å få et nøyaktig og personlig tilbud, vennligst ta kontakt direkte—konsultasjoner og tilbud er alltid gratis og kommer uten forpliktelser."
"faq.items.cgiStudio.question","Hva er egentlig et CGI-studio?"
"faq.items.cgiStudio.answer","Et CGI- eller 3D-studio er et spesialisert byrå fokusert på å lage digitale visualiseringer og animasjoner for bedrifter. Disse studioene tilbyr fleksibilitet sammenlignet med å ansette interne 3D-kunstnere, siden du kan bestille spesifikke prosjekter når det trengs uten overhead og langsiktige forpliktelser fra heltidsansatte."
"faq.items.gettingStarted.question","Hvordan kan jeg komme i gang med å lage en 3D-rendering for prosjektet mitt?"
"faq.items.gettingStarted.answer","Hvis du er interessert i å lage en 3D-rendering, ta bare kontakt med Debutiques. Vi diskuterer dine spesifikke behov, forklarer hvilke typer visualiseringer som best vil vise produktet ditt, og gir deg et klart, ikke-bindende tilbud. Innledende konsultasjoner er helt gratis, noe som gir deg muligheten til å forstå tilnærmingen vår og sikre at vi er riktig match for prosjektet ditt."
"schedule.title","Book en samtale"
"schedule.description","Book en gratis konsultasjon for å diskutere prosjektkravene dine og utforske hvordan vi kan hjelpe til med å bringe visjonen din til live."
"contact.title","La oss skape sammen"
"contact.description","Klar til å transformere hvordan kundene dine opplever møblene dine?"
"contact.form.name","Navn"
"contact.form.company","Selskap"
"contact.form.email","E-post"
"contact.form.message","Fortell oss om prosjektet ditt"
"contact.form.submit","Be om forslag"
"contact.form.confidential","100% konfidensielt. Vi svarer innen 24 timer."
"footer.description","Fotorealistisk 3D-møbelvisualisering for fremtidsrettede merker."
"footer.navigation","Navigasjon"
"footer.contact","Kontakt"
"footer.connect","Koble til"
"footer.email","info@debutiques.com"
"footer.locations","Beograd • Frankfurt"
"footer.copyright","© {{year}} Debutiques. Alle rettigheter forbeholdt."
"toast.messageSent","Melding sendt!"
"toast.messageResponse","Vi kommer tilbake innen 24 timer."
"toast.error","Feil"
"toast.messageFailed","Kunne ikke sende melding. Prøv igjen."
"toast.configError","Konfigurasjonsfeil"
"toast.emailServiceError","E-posttjenesten er ikke riktig konfigurert. Kontakt administratoren."
